station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SCR099,Croftfoot,CFF,,,,55.818455,-4.229643,,,,,,,,,,,,,,,,,,,,,,,
SCR100,Crookston,CKT,,,,55.84388,-4.36049,,,,,,,,,,,,,,,,,,,,,,,
SCR101,Crosshill,COI,,,,55.833225,-4.257648,,,,,,,,,,,,,,,,,,,,,,,
SCR102,Crossmyloof,CMY,,,,55.833626,-4.284813,,,,,,,,,,,,,,,,,,,,,,,
SCR103,Croy,CRO,,,,55.955734,-4.035697,,,,,,,,,,,,,,,,,,,,,,,
SCR104,Culrain,CUA,,,,57.919842,-4.405676,,,,,,,,,,,,,,,,,,,,,,,
SCR105,Cumbernauld,CUB,,,,55.941326,-3.982089,,,,,,,,,,,,,,,,,,,,,,,
SCR106,Cupar,CUP,,,,56.317043,-3.008772,,,,,,,,,,,,,,,,,,,,,,,
SCR107,Curriehill,CUH,,,,55.901703,-3.317849,,,,,,,,,,,,,,,,,,,,,,,
SCR108,Dalgety Bay,DAG,,,,56.044178,-3.354809,,,,,,,,,,,,,,,,,,,,,,,
SCR109,Dalmally,DAL,,,,56.400272,-4.9832,,,,,,,,,,,,,,,,,,,,,,,
SCR110,Dalmarnock,DAK,,,,55.839371,-4.21647,,,,,,,,,,,,,,,,,,,,,,,
SCR111,Dalmeny,DAM,,,,55.986362,-3.381645,,,,,,,,,,,,,,,,,,,,,,,
SCR112,Dalmuir,DMR,,,,55.911793,-4.427038,,,,,,,,,,,,,,,,,,,,,,,
SCR113,Dalreoch,DLR,,,,55.947365,-4.578226,,,,,,,,,,,,,,,,,,,,,,,
SCR114,Dalry,DLY,,,,55.705395,-4.711899,,,,,,,,,,,,,,,,,,,,,,,
SCR115,Dalwhinnie,DLW,,,,56.934334,-4.246498,,,,,,,,,,,,,,,,,,,,,,,
SCR116,Dingwall,DIN,,,,57.594238,-4.422611,,,,,,,,,,,,,,,,,,,,,,,
SCR117,Drem,DRM,,,,56.005981,-2.785752,,,,,,,,,,,,,,,,,,,,,,,
SCR118,Drumchapel,DMC,,,,55.904926,-4.364204,,,,,,,,,,,,,,,,,,,,,,,
SCR119,Drumfrochar,DFR,,,,55.941292,-4.774822,,,,,,,,,,,,,,,,,,,,,,,
SCR120,Drumgelloch,DRU,,,,55.867233,-3.95114,,,,,,,,,,,,,,,,,,,,,,,
SCR121,Drumry,DMY,,,,55.904495,-4.386583,,,,,,,,,,,,,,,,,,,,,,,
SCR122,Duirinish,DRN,,,,57.319847,-5.692103,,,,,,,,,,,,,,,,,,,,,,,
SCR123,Duke Street,DST,,,,55.859207,-4.212814,,,,,,,,,,,,,,,,,,,,,,,
SCR124,Dumbarton Central,DBC,,,,55.946705,-4.56697,,,,,,,,,,,,,,,,,,,,,,,
SCR125,Dumbarton East,DBE,,,,55.942478,-4.55387,,,,,,,,,,,,,,,,,,,,,,,
SCR126,Dumbreck,DUM,,,,55.841255,-4.309216,,,,,,,,,,,,,,,,,,,,,,,
SCR127,Dumfries,DMF,,,,55.072395,-3.605261,,,,,,,,,,,,,,,,,,,,,,,
SCR128,Dunbar,DUN,,,,55.998428,-2.514625,,,,,,,,,,,,,,,,,,,,,,,
SCR129,Dunblane,DBL,,,,56.186001,-3.967296,,,,,,,,,,,,,,,,,,,,,,,
SCR130,Duncraig,DCG,,,,57.336727,-5.637282,,,,,,,,,,,,,,,,,,,,,,,
SCR131,Dundee,DEE,,,,56.456669,-2.970576,,,,,,,,,,,,,,,,,,,,,,,
SCR132,Dunfermline City,DFE,,,,56.068233,-3.452033,,,,,,,,,,,,,,,,,,,,,,,
SCR133,Dunfermline Queen Margaret,DFL,,,,56.080706,-3.42164,,,,,,,,,,,,,,,,,,,,,,,
SCR134,Dunkeld & Birnam,DKD,,,,56.557301,-3.578097,,,,,,,,,,,,,,,,,,,,,,,
SCR135,Dunlop,DNL,,,,55.711926,-4.532435,,,,,,,,,,,,,,,,,,,,,,,
SCR136,Dunrobin Castle,DNO,,,,57.986111,-3.946595,,,,,,,,,,,,,,,,,,,,,,,
SCR137,Dyce,DYC,,,,57.205002,-2.191978,,,,,,,,,,,,,,,,,,,,,,,
SCR138,East Kilbride,EKL,,,,55.765388,-4.18199,,,,,,,,,,,,,,,,,,,,,,,
SCR139,East Linton,ELT,,,,55.9856,-2.6579,,,,,,,,,,,,,,,,,,,,,,,
SCR140,Easterhouse,EST,,,,55.860157,-4.107389,,,,,,,,,,,,,,,,,,,,,,,
SCR141,Edinburgh Gateway,EGY,,,,55.941,-3.32,,,,,,,,,,,,,,,,,,,,,,,
SCR142,Edinburgh Park,EDP,,,,55.927615,-3.307829,,,,,,,,,,,,,,,,,,,,,,,
SCR143,Edinburgh Waverley,EDB,,,,55.952442,-3.188236,,,,,,,,,,,,,,,,,,,,,,,
SCR144,Elgin,ELG,,,,57.64299,-3.31163,,,,,,,,,,,,,,,,,,,,,,,
SCR145,Eskbank,EKB,,,,55.88956,-3.07845,,,,,,,,,,,,,,,,,,,,,,,
SCR146,Exhibition Centre,EXG,,,,55.860619,-4.283207,,,,,,,,,,,,,,,,,,,,,,,
SCR147,Fairlie,FRL,,,,55.752514,-4.853834,,,,,,,,,,,,,,,,,,,,,,,
SCR148,Falkirk Grahamston,FKG,,,,56.002735,-3.786359,,,,,,,,,,,,,,,,,,,,,,,
SCR149,Falkirk High,FKK,,,,55.991863,-3.792276,,,,,,,,,,,,,,,,,,,,,,,
SCR150,Falls of Cruachan,FOC,,,,56.386242,-5.114992,,,,,,,,,,,,,,,,,,,,,,,
SCR151,Fauldhouse,FLD,,,,55.822163,-3.719006,,,,,,,,,,,,,,,,,,,,,,,
SCR152,Fearn,FRN,,,,57.777828,-3.994245,,,,,,,,,,,,,,,,,,,,,,,
SCR153,Forres,FOR,,,,57.609661,-3.62847,,,,,,,,,,,,,,,,,,,,,,,
SCR154,Forsinard,FRS,,,,58.356998,-3.896903,,,,,,,,,,,,,,,,,,,,,,,
SCR155,Fort Matilda,FTM,,,,55.958809,-4.7953,,,,,,,,,,,,,,,,,,,,,,,
SCR156,Fort William,FTW,,,,56.820625,-5.106721,,,,,,,,,,,,,,,,,,,,,,,
SCR157,Galashiels,GAL,,,,55.610426,-2.809693,,,,,,,,,,,,,,,,,,,,,,,
SCR158,Garelochhead,GCH,,,,56.079449,-4.826544,,,,,,,,,,,,,,,,,,,,,,,
SCR159,Garrowhill,GAR,,,,55.855286,-4.129497,,,,,,,,,,,,,,,,,,,,,,,
SCR160,Garscadden,GRS,,,,55.88784,-4.364757,,,,,,,,,,,,,,,,,,,,,,,
SCR161,Gartcosh,GRH,,,,55.885,-4.078,,,,,,,,,,,,,,,,,,,,,,,
SCR162,Garve,GVE,,,,57.613129,-4.688429,,,,,,,,,,,,,,,,,,,,,,,
SCR163,Georgemas Junction,GGJ,,,,58.513721,-3.45212,,,,,,,,,,,,,,,,,,,,,,,
SCR164,Giffnock,GFN,,,,55.804688,-4.294289,,,,,,,,,,,,,,,,,,,,,,,
SCR165,Gilshochill,GSC,,,,55.897295,-4.28201,,,,,,,,,,,,,,,,,,,,,,,
SCR166,Girvan,GIR,,,,55.246517,-4.848927,,,,,,,,,,,,,,,,,,,,,,,
SCR167,Glasgow Central,GLC,,,,55.860157,-4.259208,,,,,,,,,,,,,,,,,,,,,,,
SCR168,Glasgow Queen Street,GLQ,,,,55.863003,-4.251385,,,,,,,,,,,,,,,,,,,,,,,
SCR169,Gleneagles,GLE,,,,56.274902,-3.7312,,,,,,,,,,,,,,,,,,,,,,,
SCR170,Glenfinnan,GLF,,,,56.872753,-5.449219,,,,,,,,,,,,,,,,,,,,,,,
SCR171,Glengarnock,GLG,,,,55.738579,-4.674364,,,,,,,,,,,,,,,,,,,,,,,
SCR172,Glenrothes with Thornton,GLT,,,,56.162224,-3.143189,,,,,,,,,,,,,,,,,,,,,,,
SCR173,Golf Street,GOF,,,,56.497852,-2.719541,,,,,,,,,,,,,,,,,,,,,,,
SCR174,Golspie,GOL,,,,57.971092,-3.98806,,,,,,,,,,,,,,,,,,,,,,,
SCR175,Gorebridge,GBG,,,,55.836732,-3.046099,,,,,,,,,,,,,,,,,,,,,,,
SCR176,Gourock,GRK,,,,55.962788,-4.818021,,,,,,,,,,,,,,,,,,,,,,,
SCR177,Greenfaulds,GRL,,,,55.932064,-3.999232,,,,,,,,,,,,,,,,,,,,,,,
SCR178,Greenock Central,GKC,,,,55.945385,-4.752692,,,,,,,,,,,,,,,,,,,,,,,
SCR179,Greenock West,GKW,,,,55.94772,-4.768866,,,,,,,,,,,,,,,,,,,,,,,
SCR180,Gretna Green,GEA,,,,55.001934,-3.064608,,,,,,,,,,,,,,,,,,,,,,,
SCR181,Hairmyres,HMY,,,,55.762012,-4.220047,,,,,,,,,,,,,,,,,,,,,,,
SCR182,Hamilton Central,HNC,,,,55.773239,-4.038928,,,,,,,,,,,,,,,,,,,,,,,
SCR183,Hamilton West,HNW,,,,55.779232,-4.056781,,,,,,,,,,,,,,,,,,,,,,,
