crs,terminus
BLW,MSW|NOT|WRK
BLX,BHI|BHM|RGL|WVH
BLY,BDM|BHM|BLY|BPN|CRE|CTR|EDB|EUS|GLC|HAN|HHD|INV|LIV|MAN|MKC|NMP|PRE|STA|STG|WRX|WSL|WVH|XOA
BMB,BBN|BPN|CNE|PRE|YRK
BMC,BBN|CLH|MCV
BMD,BIS|CBG|CMB|ELY|HFE|LST|SRA|SSD|TOM
BME,LLE|SHR|SWA
BMF,DON|HUL|KGX|LDS|SCA|SHF|YRK
BMG,AFK|BFR|CHX|MDE|RAM|XVJ
BMH,BCU|BHM|BMH|BSK|MAN|NEM|POO|SOU|WEY|WIN|WOK
BML,MAC|MAN|SOT
BMN,BMN|GRP
BMO,BAN|BMO|BSW|DDG|KID|LMS|MYB|SAV|SBJ|WOF|WOS|WTE|XOH
BMP,CAR|HPL|MBR|NCL
BMR,BKQ|CTR|ELP|XLV
BMS,AFK|BFR|CBW|CHX|DVP|FAV|FKW|FPK|GLM|KTN|LUT|MDE|ORP|RAM|RTR|SEV|TBW|WGC|WHP|XVJ
BMT,AVN|BPW|BRI|CDF|CFN|EXD|PNZ|SVB|TAU|WSM
BMV,ABD|BHM|BMV|BRI|CDF|EDB|FOK|GCR|GLC|GMV|HFD|LDS|LIC|LIF|MAN|NCL|NOT|PGN|PLY|PNZ|SSD|WOF|WOS
BMY,BHM|BMH|BSK|MAN|NCL|RDG|SOU|STA|XFB
BNA,BIF|BPN|CLE|CRE|LIV|MAN|MIA|SCA|WML|YRK
BNC,CNE|PRE
BND,CBG|DBY|ELY|LIV|LWT|MAN|NRW|SHF|SPO|SSD
BNE,BNE|MAI|MLW
BNF,CDF|CMN|LLE|MFH|PMD|PTA|SWA
BNG,AYW|BHI|BHM|BNG|BYC|CDF|CEN|CRE|CTR|DOG|EUS|HHD|MIA|PGR|WBQ
BNH,CHX|CST|DFD|GRV|MDW|RAI|RTR|WHP|XVJ
BNI,ASN|HOU|QRB|TWI|WOK|WYB
BNL,BHC|GRS|MLN|SPR
BNM,ABX|GMV|MAI|OXF|PAD|PNZ|RDG|SLO|SWA|TAP
BNP,AXM|BNP|CMA|EXC|EXD|EXM|LCP|LLP|PGN
BNR,APN|CAR|CIC|GTA|HEX|HPL|MBR|MCE|NCL|NNT|REG|SGH|SHZ|SUN|WTB
BNS,AHT|ASN|BNS|EAD|HOU|KNG|OXP|QRB|RDZ|SHP|SNS|STW|TWI|WKM|WNR|WOK|WYB
BNT,CLY|MAN|NMC|SHF
BNV,FTW|GLQ|MLG
BNW,LVC|SOP
BNY,BNY|HUD|LCN|LDS|NOT|PNS|SHF|WKK
BOA,BNS|BRI|BTH|CDF|FRO|GCR|PAD|PMH|PMS|SAL|WEY|WMN|WSB
BOC,BIF|CKL|LAN|MLM|PRE|WKG
BOD,BHM|BOD|EDB|EXD|NQY|PAD|PDT|PLY|PNZ
BOE,BRI|BTN|ESL|HOV|LIT|NEM|PMH|SOU|WIN|WSB
BOG,BAA|BAL|BOG|BTN|LIT|WSW|XSU
BOH,BTN|HRH|LIT|PMH|PMS|SOU|WSW
BOM,BKQ|CTR|ELP|XLV
BON,BBN|BIF|BPN|CLH|EDB|GLC|MAN|MCO|MCV|MIA|OXN|SOP|WDM|WGN|WGW
BOP,CBG|ELY|FPK|GDH|HFN|KGX|LDS|LET|MOG|PBO|RYS|SVG|YRK
BOR,BHI|CDF|CRE|CTR|HHD
BOT,LVC|SOP
BOW,AYW|BHI|MCN|SHR
BPA,BTR|CET|CLT|COL|HPQ|HWC|IPS|LST|NRW|SNF|WTM|XFD
BPB,BPS|PRE
BPK,ABD|BTN|CBG|EDB|HRH|KGX|KLN|LDS|MOG|NCL|PBO|WGC
BPL,HNY|SGQ
BPN,BPN|CRE|LDS|LIV|MAN|MIA|YRK
BPS,BPS|PRE
BPT,GLC|GRK|WMS
BPW,ABD|BHM|BPW|BRI|CDF|CMN|EDB|EXD|FRO|GCR|GLC|GMV|LDS|MAN|NCL|PAD|PGN|PLY|PMS|PNZ|SLO|SSD|SWA|WEY|WOF|WOS|WSB
BRA,INV|WCK
BRC,EDB|GLC
BRE,CLT|COL|HWV|LST|PDX|SNF|SOV
BRF,CNE|PRE
BRG,AFK|BFR|CHX|FKW|GLM|MDE|RAM|XVJ
BRH,AYW|BHI|MCN|SHR
