station_id,station_name,crs,operator,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,route,county
,Frant,FRT,Southern,51.104321,0.294034,False,CHX|CST|HGS|TON,False,,,,,,,,,,,,,1.0,1.0,low,few,58.5,30-60,2.0,8.0,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR033,58.5,30-60,False,commuter,,
,Fratton,FTN,Southern,50.795818,-1.073422,False,BOG|BRI|BTN|CDF|ESL|FTN|GLD|GTW|HRH|LIT|NEM|PMH|PMS|SOU|WIN|WSB,False,,,,,,,,,,,,,1.0,1.0,low,few,45.0,30-60,2.0,8.0,"['West Coastway', 'Portsmouth Direct']",West Coastway,False,True,True,single,False,False,SR034,45.0,30-60,False,commuter,,Hampshire
,Gatwick Airport,GTW,Southern,51.156425,-0.161022,False,BAK|BAL|BDM|BOG|BTN|CBG|CCH|EBN|GTW|HGS|HRH|LIT|LUT|ORE|PBO|PMH|PMS|RDG|RDH|RDZ|TBD|WRH|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR035,9.0,0-30,False,inner,,
SO_000063,Glynde,GLY,Southern,50.859398,0.06883,False,BAL|BTN|EBN|HGS|HHE|ORE|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR036,36.0,30-60,False,outer,,
SO_000065,Goring-by-Sea,GBS,Southern,50.817753,-0.432751,False,BAL|BOG|BTN|CCH|HHE|LIT|PMH|PMS|SOU|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR037,36.0,30-60,False,outer,,West Sussex
SO_000066,Hackbridge,HCB,Southern,51.378437,-0.15358,False,BAK|BAL|BDM|DKG|EPS|HRH|SAC|SUO|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR038,40.5,30-60,False,commuter,,England
SO_000068,Hampden Park,HMD,Southern,50.796124,0.278906,False,AFK|BAK|BAL|BTN|EBN|HGS|HHE|ORE|PLG|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR039,49.5,30-60,False,commuter,,East Sussex
SO_000069,Hassocks,HSK,Southern,50.923264,-0.146043,False,BAK|BAL|BDM|BOG|BTN|CBG|HHE|LIT|WRH|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR040,27.0,0-30,False,outer,,West Sussex
,Hastings,HGS,Southern,50.858288,0.57608,True,AFK|BAK|BAL|BTN|CHX|CST|EBN|HGS|HHE|ORE|PLG|TON,False,,,,,,,,,,,,,2.0,2.0,medium,some,85.5,60-120,4.0,6.0,['East Coastway'],East Coastway,False,True,True,single,True,False,SR041,85.5,60-120,False,regional,,East Sussex
,Havant,HAV,Southern,50.854416,-0.982763,True,BAL|BOG|BTN|FRM|FTN|GLD|GTW|HAV|HOV|HRH|LIT|NEM|PMH|PMS|SOU|WOK|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,"['West Coastway', 'Portsmouth Direct']",West Coastway,False,True,True,single,True,False,SR042,31.5,30-60,False,outer,,Hampshire
SO_000070,Haywards Heath,HHE,Southern,51.00536,-0.105717,False,BAK|BAL|BDM|BOG|BTN|CBG|EBN|HGS|HHE|LIT|LWS|ORE|PMP|WRH|WSW|XSU,True,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR043,13.5,0-30,False,inner,,West Sussex
,Hedge End,HDE,Southern,50.927773,-1.297056,False,ESL|NEM|PMH|WIN,False,,,,,,,,,,,,,1.0,1.0,low,few,62.0,60-120,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,multiple,False,False,SR044,62.0,60-120,False,regional,,Hampshire
,Hever,HEV,Southern,,,,UCK|XSU,False,,,,,,,,,,,,,,,,,65.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR060,65.0,,False,regional,,
,High Brooms,HIB,Southern,51.149609,0.277686,False,CHX|CST|HGS|TBW|TON,False,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['Uckfield Branch'],Uckfield Branch,True,False,False,multiple,False,False,SR045,49.5,30-60,False,commuter,,Kent
,Hildenborough,HLB,Southern,51.214451,0.226465,False,AFK|CHX|CST|DVP|HGS|RAM|TBW,False,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR046,40.5,30-60,False,commuter,,Kent
,Hilsea,HLS,Southern,50.828075,-1.058592,False,BTN|ESL|FTN|GLD|GTW|HRH|LIT|NEM|PMH|PMS|SOU|WIN,False,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR047,49.5,30-60,False,commuter,,England
