station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SR034,Fratton,FTN,,,,50.795818,-1.073422,False,,,,,,,,,,,,,,,1.0,1.0,low,few,45.0,30-60,2.0,8.0,"['West Coastway', 'Portsmouth Direct']",West Coastway,False,True,True,single,False,False,SR034,45.0,30-60,False,commuter
SR035,Gatwick Airport,GTW,,,,51.156425,-0.161022,False,,,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR035,9.0,0-30,False,inner
SR036,Glynde,GLY,,,,50.859398,0.06883,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR036,36.0,30-60,False,outer
SR037,Goring-by-Sea,GBS,,,,50.817753,-0.432751,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR037,36.0,30-60,False,outer
SR038,Hackbridge,HCB,,,,51.378437,-0.15358,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR038,40.5,30-60,False,commuter
SR039,Hampden Park,HMD,,,,50.796124,0.278906,False,,,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR039,49.5,30-60,False,commuter
SR040,Hassocks,HSK,,,,50.923264,-0.146043,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR040,27.0,0-30,False,outer
SR041,Hastings,HGS,,,,50.858288,0.57608,True,,,,,,,,,,,,,,,2.0,2.0,medium,some,85.5,60-120,4.0,6.0,['East Coastway'],East Coastway,False,True,True,single,True,False,SR041,85.5,60-120,False,regional
SR042,Havant,HAV,,,,50.854416,-0.982763,True,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,"['West Coastway', 'Portsmouth Direct']",West Coastway,False,True,True,single,True,False,SR042,31.5,30-60,False,outer
SR043,Haywards Heath,HHE,,,,51.00536,-0.105717,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR043,13.5,0-30,False,inner
SR044,Hedge End,HDE,,,,50.927773,-1.297056,False,,,,,,,,,,,,,,,1.0,1.0,low,few,62.0,60-120,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,multiple,False,False,SR044,62.0,60-120,False,regional
SR060,Hever,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,['Uckfield Branch'],Uckfield Branch,True,False,False,single,False,False,SR060,65.0,,False,regional
SR045,High Brooms,HIB,,,,51.149609,0.277686,False,,,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['Uckfield Branch'],Uckfield Branch,True,False,False,multiple,False,False,SR045,49.5,30-60,False,commuter
SR046,Hildenborough,HLB,,,,51.214451,0.226465,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR046,40.5,30-60,False,commuter
SR047,Hilsea,HLS,,,,50.828075,-1.058592,False,,,,,,,,,,,,,,,1.0,1.0,low,few,49.5,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR047,49.5,30-60,False,commuter
SR064,Holmwood,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR064,70.0,,False,regional
SR048,Horley,HOR,,,,51.168137,-0.161994,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR048,13.5,0-30,False,inner
SR066,Horsham,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR066,55.0,,False,commuter
SR049,Hove,HOV,,,,50.835514,-0.170824,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR049,22.5,0-30,False,outer
SR068,Hurst Green,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,"['East Grinstead Branch', 'Uckfield Branch']",East Grinstead Branch,True,False,False,multiple,False,False,SR068,45.0,,False,commuter
SR050,Kensington Olympia,KPA,,,,51.497753,-0.210189,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR050,13.5,0-30,False,inner
SR051,Lancing,LAC,,,,50.827015,-0.323103,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR051,27.0,0-30,False,outer
SR052,Lewes,LWS,,,,50.870281,0.012455,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR052,31.5,30-60,False,outer
SR072,Lingfield,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,['East Grinstead Branch'],East Grinstead Branch,True,False,False,single,False,False,SR072,50.0,,False,commuter
SR053,Littlehampton,LIT,,,,50.810226,-0.546547,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR053,36.0,30-60,False,outer
SR054,London Bridge,LBG,,,,51.505035,-0.085058,True,,,,,,,,,,,,,,,1.0,1.0,low,few,0.0,,2.0,8.0,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,multiple,True,False,SR054,0.0,,False,inner
SR055,London Road (Brighton),LRB,,,,50.836773,-0.136696,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR055,22.5,0-30,False,outer
SR056,London Victoria,VIC,,,,51.4966,-0.1448,True,,,,,,,,,,,,,,,2.0,2.0,medium,some,0.0,,4.0,6.0,"['Brighton Main Line', 'Portsmouth Direct']",Brighton Main Line,False,True,False,multiple,True,False,SR056,0.0,,False,inner
SR057,London Waterloo,WAT,,,,51.501865,-0.111126,True,,,,,,,,,,,,,,,1.0,1.0,low,few,0.0,,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,True,False,SR057,0.0,,False,inner
SR058,Merstham,MHM,,,,51.264164,-0.149555,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR058,22.5,0-30,False,outer
SR059,Mitcham Eastfields,MTC,,,,51.407725,-0.154764,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR059,31.5,30-60,False,outer
SR060,Mitcham Junction,MIJ,,,,51.392887,-0.157308,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,multiple,False,False,SR060,36.0,30-60,False,outer
SR061,Moulsecoomb,MCB,,,,50.844616,-0.12076,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR061,22.5,0-30,False,outer
SR062,Norbury,NRB,,,,51.411236,-0.123492,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR062,18.0,0-30,False,inner
SR063,Normans Bay,NSB,,,,50.825382,0.389669,False,,,,,,,,,,,,,,,1.0,1.0,low,few,63.0,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR063,63.0,60-120,False,regional
SR084,Ockley,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR084,65.0,,False,regional
SR064,Otford,OTF,,,,51.312141,0.196757,False,,,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR064,22.5,0-30,False,outer
SR086,Oxted,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,"['East Grinstead Branch', 'Uckfield Branch']",East Grinstead Branch,True,False,False,single,False,False,SR086,40.0,,False,outer
SR065,Pevensey & Westham,PEV,,,,50.815899,0.325291,False,,,,,,,,,,,,,,,1.0,1.0,low,few,58.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,multiple,False,False,SR065,58.5,30-60,False,commuter
SR066,Polegate,PLG,,,,50.820934,0.251705,False,,,,,,,,,,,,,,,1.0,1.0,low,few,45.0,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR066,45.0,30-60,False,commuter
SR067,Portchester,PTC,,,,50.848389,-1.126361,False,,,,,,,,,,,,,,,1.0,1.0,low,few,58.5,30-60,2.0,8.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,single,False,False,SR067,58.5,30-60,False,commuter
SR068,Portslade,PLD,,,,50.836044,-0.204898,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR068,27.0,0-30,False,outer
SR069,Portsmouth & Southsea,PMS,,,,50.797756,-1.090417,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,"['West Coastway', 'Portsmouth Direct']",West Coastway,False,True,True,multiple,False,False,SR069,40.5,30-60,False,commuter
SR070,Portsmouth Harbour,PMH,,,,50.796097,-1.108895,True,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,"['West Coastway', 'Portsmouth Direct']",West Coastway,False,True,True,multiple,True,False,SR070,36.0,30-60,False,outer
SR071,Preston Park,PRP,,,,50.846054,-0.154787,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR071,27.0,0-30,False,outer
SR072,Purley,PUR,,,,51.337334,-0.113592,False,,,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR072,13.5,0-30,False,inner
SR073,Redhill,RDH,,,,51.240124,-0.164851,False,,,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR073,27.0,0-30,False,outer
