station_name,crs,operator,route_groups,county,latitude,longitude,is_interchange,is_terminus,major_interchange,branch_junction,canonical_time_to_london,time_band,station_id,route_count,service_count,service_density,route_diversity_band,,is_branch_line,is_mainline,is_coastal,route_station_id,is_high_speed,distance_band,accessibility_score,difficulty_score,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,word_count_band
Nutbourne,NUT,Southern,,,50.8460569,-0.882951949,,FALSE,,,,,SO_000097,1,1,low,single,,FALSE,TRUE,FALSE,SO_000097,FALSE,,,,,,,,,,,,,,,,single
Nutfield,NUF,Southern,,,51.22686567,-0.133758333,,FALSE,,,,,SO_000098,1,1,low,single,,FALSE,TRUE,FALSE,SO_000098,FALSE,,,,,,,,,,,,,,,,single
Ockley,OLY,Southern,,,51.15150662,-0.336003059,,FALSE,,,,,SO_000099,1,1,low,single,,FALSE,TRUE,FALSE,SO_000099,FALSE,,,,,,,,,,,,,,,,single
Ore,ORE,Southern,,,50.86694236,0.591574525,,TRUE,,,,,SO_000100,1,1,low,single,,FALSE,TRUE,FALSE,SO_000100,FALSE,,,,,,,,,,,,,,,,single
Oxted,OXT,Southern,"['East Grinstead Branch', 'Uckfield Branch']",,51.25790506,-0.004812996,,TRUE,,False,40,,SO_000101,1,1,low,single,,FALSE,TRUE,FALSE,SO_000101,FALSE,,,,,,,,,,,,,,,,single
Peckham Rye,PMR,Southern,,,51.47003714,-0.069394247,,FALSE,,,,,SO_000102,1,1,low,single,,FALSE,TRUE,FALSE,SO_000102,FALSE,,,,,,,,,,,,,,,,multiple
Penshurst,PHR,Southern,,,51.19733253,0.173483045,,FALSE,,,,,SO_000103,1,1,low,single,,FALSE,TRUE,FALSE,SO_000103,FALSE,,,,,,,,,,,,,,,,single
Pevensey & Westham,PEV,Southern,['East Coastway'],East Sussex,50.81579197,0.324820485,,FALSE,False,False,58.5,30-60,SO_000104,1,1,low,single,,FALSE,TRUE,FALSE,SO_000104,FALSE,,,,,,,,,,,,,,,,multiple
Pevensey Bay,PEB,Southern,,,50.81745345,0.342920162,,FALSE,,,,,SO_000105,1,1,low,single,,FALSE,TRUE,FALSE,SO_000105,FALSE,,,,,,,,,,,,,,,,multiple
Plumpton,PMP,Southern,,,50.9286601,-0.060178055,,TRUE,,,,,SO_000106,1,1,low,single,,FALSE,TRUE,FALSE,SO_000106,FALSE,,,,,,,,,,,,,,,,single
Polegate,PLG,Southern,['East Coastway'],East Sussex,50.82121828,0.245732124,,TRUE,False,False,45,30-60,SO_000107,1,1,low,single,,FALSE,TRUE,FALSE,SO_000107,FALSE,,,,,,,,,,,,,,,,single
Portslade,PLD,Southern,['West Coastway'],,50.83567693,-0.205323859,,FALSE,False,False,27,0-30,SO_000108,1,1,low,single,,FALSE,TRUE,FALSE,SO_000108,FALSE,,,,,,,,,,,,,,,,single
Preston Park,PRP,Southern,['Brighton Main Line'],Brighton and Hove,50.84593878,-0.155167744,,FALSE,False,False,27,0-30,SO_000109,1,1,low,single,,FALSE,TRUE,FALSE,SO_000109,FALSE,,,,,,,,,,,,,,,,multiple
Pulborough,PUL,Southern,,,50.95734852,-0.516553376,,FALSE,,,,,SO_000110,1,1,low,single,,FALSE,TRUE,FALSE,SO_000110,FALSE,,,,,,,,,,,,,,,,single
Purley,PUR,Southern,['Brighton Main Line'],England,51.33739162,-0.113608701,,TRUE,False,False,13.5,0-30,SO_000111,1,1,low,single,,FALSE,TRUE,FALSE,SO_000111,FALSE,,,,,,,,,,,,,,,,single
Purley Oaks,PUO,Southern,,,51.34704533,-0.098851969,,FALSE,,,,,SO_000112,1,1,low,single,,FALSE,TRUE,FALSE,SO_000112,FALSE,,,,,,,,,,,,,,,,multiple
Queens Road (Peckham),QRP,Southern,,,51.47406855,-0.057574233,,FALSE,,,,,SO_000113,1,1,low,single,,FALSE,TRUE,FALSE,SO_000113,FALSE,,,,,,,,,,,,,,,,multiple
Redhill,RDH,Southern,['Brighton Main Line'],Surrey,51.24019809,-0.165898311,,TRUE,False,False,27,0-30,SO_000114,1,1,low,single,,FALSE,TRUE,FALSE,SO_000114,FALSE,,,,,,,,,,,,,,,,single
Reedham (London),RHM,Southern,,,51.33216069,-0.12387235,,FALSE,,,,,SO_000115,1,1,low,single,,FALSE,TRUE,FALSE,SO_000115,FALSE,,,,,,,,,,,,,,,,multiple
Reigate,REI,Southern,,,51.24195549,-0.203824541,,TRUE,,,,,SO_000116,1,1,low,single,,FALSE,TRUE,FALSE,SO_000116,FALSE,,,,,,,,,,,,,,,,single
Riddlesdown,RDD,Southern,,,51.33266611,-0.099446924,,FALSE,,,,,SO_000117,1,1,low,single,,FALSE,TRUE,FALSE,SO_000117,FALSE,,,,,,,,,,,,,,,,single
Rye (Sussex),RYE,Southern,,,50.95236602,0.730706155,,FALSE,,,,,SO_000118,1,1,low,single,,FALSE,TRUE,FALSE,SO_000118,FALSE,,,,,,,,,,,,,,,,multiple
Salfords (Surrey),SAF,Southern,['Brighton Main Line'],Surrey,51.20174387,-0.162487674,,FALSE,False,False,18,0-30,SO_000119,1,1,low,single,,FALSE,TRUE,FALSE,SO_000119,FALSE,,,,,,,,,,,,,,,,multiple
Sanderstead,SNR,Southern,,,51.34828313,-0.093673971,,FALSE,,,,,SO_000120,1,1,low,single,,FALSE,TRUE,FALSE,SO_000120,FALSE,,,,,,,,,,,,,,,,single
