station_id,network,route_station_id,crs,station_name,route_group
SCR140,Scotrail,SC0140,EST,Easterhouse,
SCR141,Scotrail,SC0141,EGY,Edinburgh Gateway,
SCR142,Scotrail,SC0142,EDP,Edinburgh Park,
SCR143,Scotrail,SC0143,EDB,Edinburgh Waverley,
SCR144,Scotrail,SC0144,ELG,Elgin,
SCR145,Scotrail,SC0145,EKB,Eskbank,
SCR146,Scotrail,SC0146,EXG,Exhibition Centre,
SCR147,Scotrail,SC0147,FRL,Fairlie,
SCR148,Scotrail,SC0148,FKG,Falkirk Grahamston,
SCR149,Scotrail,SC0149,FKK,Falkirk High,
SCR150,Scotrail,SC0150,FOC,Falls of Cruachan,
SCR151,Scotrail,SC0151,FLD,Fauldhouse,
SCR152,Scotrail,SC0152,FRN,Fearn,
SCR153,Scotrail,SC0153,FOR,Forres,
SCR154,Scotrail,SC0154,FRS,Forsinard,
SCR155,Scotrail,SC0155,FTM,Fort Matilda,
SCR156,Scotrail,SC0156,FTW,Fort William,
SCR157,Scotrail,SC0157,GAL,Galashiels,
SCR158,Scotrail,SC0158,GCH,Garelochhead,
SCR159,Scotrail,SC0159,GAR,Garrowhill,
SCR160,Scotrail,SC0160,GRS,Garscadden,
SCR161,Scotrail,SC0161,GRH,Gartcosh,
SCR162,Scotrail,SC0162,GVE,Garve,
SCR163,Scotrail,SC0163,GGJ,Georgemas Junction,
SCR164,Scotrail,SC0164,GFN,Giffnock,
SCR165,Scotrail,SC0165,GSC,Gilshochill,
SCR166,Scotrail,SC0166,GIR,Girvan,
SCR167,Scotrail,SC0167,GLC,Glasgow Central,
SCR168,Scotrail,SC0168,GLQ,Glasgow Queen Street,
SCR169,Scotrail,SC0169,GLE,Gleneagles,
SCR170,Scotrail,SC0170,GLF,Glenfinnan,
SCR171,Scotrail,SC0171,GLG,Glengarnock,
SCR172,Scotrail,SC0172,GLT,Glenrothes with Thornton,
SCR173,Scotrail,SC0173,GOF,Golf Street,
SCR174,Scotrail,SC0174,GOL,Golspie,
SCR175,Scotrail,SC0175,GBG,Gorebridge,
SCR176,Scotrail,SC0176,GRK,Gourock,
SCR177,Scotrail,SC0177,GRL,Greenfaulds,
SCR178,Scotrail,SC0178,GKC,Greenock Central,
SCR179,Scotrail,SC0179,GKW,Greenock West,
SCR180,Scotrail,SC0180,GEA,Gretna Green,
SCR181,Scotrail,SC0181,HMY,Hairmyres,
SCR182,Scotrail,SC0182,HNC,Hamilton Central,
SCR183,Scotrail,SC0183,HNW,Hamilton West,
SCR184,Scotrail,SC0184,HTW,Hartwood,
SCR185,Scotrail,SC0185,HKH,Hawkhead,
SCR186,Scotrail,SC0186,HYM,Haymarket,
SCR187,Scotrail,SC0187,HLC,Helensburgh Central,
SCR188,Scotrail,SC0188,HLU,Helensburgh Upper,
SCR189,Scotrail,SC0189,HMS,Helmsdale,
SCR190,Scotrail,SC0190,HST,High Street,
SCR191,Scotrail,SC0191,HLF,Hillfoot,
SCR192,Scotrail,SC0192,HLE,Hillington East,
SCR193,Scotrail,SC0193,HLW,Hillington West,
SCR194,Scotrail,SC0194,HLY,Holytown,
SCR195,Scotrail,SC0195,HOZ,Howwood,
SCR196,Scotrail,SC0196,HNT,Huntly,
SCR197,Scotrail,SC0197,HYN,Hyndland,
SCR198,Scotrail,SC0198,INS,Insch,
SCR199,Scotrail,SC0199,IGD,Invergordon,
SCR200,Scotrail,SC0200,ING,Invergowrie,
SCR201,Scotrail,SC0201,INK,Inverkeithing,
SCR202,Scotrail,SC0202,INP,Inverkip,
SCR203,Scotrail,SC0203,INV,Inverness,
