route_id,pattern_id
R00188,SP001661
R00189,SP000275
R00190,SP000276
R00190,SP002689
R00190,SP004329
R00191,SP000277
R00192,SP000278
R00193,SP000279
R00193,SP003964
R00194,SP000280
R00195,SP000281
R00196,SP000282
R00196,SP000294
R00197,SP000283
R00197,SP000285
R00197,SP000296
R00197,SP000303
R00198,SP000284
R00199,SP000286
R00199,SP000639
R00199,SP000945
R00199,SP000971
R00199,SP001001
R00199,SP001002
R00199,SP001005
R00199,SP001015
R00199,SP001077
R00199,SP001083
R00199,SP001092
R00199,SP001239
R00199,SP001241
R00199,SP001255
R00199,SP001291
R00199,SP001295
R00199,SP002276
R00199,SP002965
R00199,SP002980
R00199,SP002983
R00199,SP002986
R00199,SP002991
R00199,SP002992
R00199,SP002995
R00199,SP003006
R00199,SP003014
R00199,SP003026
R00199,SP003130
R00199,SP003179
R00199,SP003294
R00199,SP003298
R00199,SP003675
R00199,SP003677
R00199,SP003756
R00199,SP004020
R00199,SP004086
R00200,SP000287
R00201,SP000288
R00202,SP000289
R00203,SP000290
R00203,SP002233
R00203,SP003696
R00204,SP000291
R00205,SP000292
R00206,SP000293
R00206,SP000299
R00206,SP000301
R00206,SP000740
R00206,SP000759
R00206,SP003670
R00206,SP004097
R00206,SP004229
R00206,SP004426
R00206,SP004526
R00207,SP000295
R00207,SP001251
R00208,SP000300
R00209,SP000302
R00210,SP000304
R00211,SP000306
R00212,SP000307
R00212,SP000723
R00212,SP002963
R00212,SP003236
R00213,SP000308
R00214,SP000309
R00214,SP002550
R00214,SP002558
R00215,SP000310
R00216,SP000314
R00217,SP000315
R00217,SP000573
R00217,SP000575
R00217,SP001121
R00217,SP001499
R00217,SP001501
R00217,SP001504
R00217,SP002023
R00217,SP002028
R00217,SP002033
R00217,SP003303
R00217,SP003549
R00217,SP003599
R00217,SP003991
R00217,SP003992
R00217,SP003994
R00217,SP003996
R00217,SP004155
R00217,SP004339
R00217,SP004341
R00218,SP000316
R00218,SP000320
R00218,SP000330
R00218,SP001763
R00218,SP003161
R00219,SP000317
R00220,SP000318
R00220,SP001209
R00220,SP001352
R00221,SP000319
R00221,SP000718
R00221,SP000783
R00221,SP000787
R00221,SP000791
R00221,SP004605
R00221,SP004613
R00222,SP000321
R00222,SP000323
R00222,SP000327
R00222,SP000329
R00222,SP001108
R00222,SP001109
R00222,SP001118
R00222,SP002466
R00223,SP000322
R00224,SP000324
R00224,SP000438
R00225,SP000325
R00226,SP000331
R00227,SP000332
R00228,SP000333
R00228,SP000666
R00228,SP000688
R00228,SP000696
R00228,SP000701
R00228,SP000705
R00228,SP002726
R00228,SP003313
R00229,SP000335
R00230,SP000336
R00231,SP000338
R00231,SP000386
R00231,SP001000
R00231,SP001733
R00231,SP002945
R00231,SP003695
R00232,SP000339
R00233,SP000340
R00233,SP001337
R00234,SP000341
R00235,SP000342
R00236,SP000343
R00236,SP003560
R00237,SP000344
R00238,SP000345
R00238,SP001125
R00238,SP002195
R00238,SP003595
R00238,SP003822
R00239,SP000346
R00239,SP000378
R00239,SP001115
R00239,SP001298
R00239,SP001595
R00239,SP002578
R00239,SP003029
R00240,SP000348
R00240,SP003033
R00241,SP000350
R00241,SP003694
R00242,SP000351
R00242,SP002096
R00242,SP002206
R00242,SP002444
R00243,SP000352
R00244,SP000353
R00245,SP000354
R00246,SP000355
R00246,SP000553
R00246,SP004162
R00247,SP000356
R00248,SP000357
R00248,SP000946
R00249,SP000358
R00249,SP003687
R00250,SP000359
R00251,SP000360
R00252,SP000361
R00252,SP000444
R00252,SP000909
R00252,SP001619
R00252,SP001698
R00253,SP000362
R00253,SP001026
R00253,SP001042
R00253,SP001734
R00253,SP002173
R00253,SP002256
R00253,SP002498
R00253,SP002506
R00253,SP002516
R00253,SP002725
R00253,SP002810
R00253,SP003249
R00254,SP000363
R00254,SP000376
R00254,SP002915
R00254,SP003117
R00254,SP003458
R00255,SP000365
R00256,SP000366
R00256,SP003218
R00256,SP003252
R00256,SP003664
R00256,SP004404
R00256,SP004618
R00257,SP000367
R00258,SP000368
R00258,SP000665
R00259,SP000369
R00259,SP000457
R00259,SP000461
R00259,SP000464
R00260,SP000370
R00260,SP000954
R00261,SP000371
R00262,SP000372
R00262,SP002275
R00263,SP000373
R00264,SP000374
R00265,SP000375
R00266,SP000377
R00266,SP001055
R00266,SP001127
R00266,SP001129
R00266,SP001140
R00266,SP003472
R00266,SP003502
R00267,SP000379
R00268,SP000380
R00269,SP000381
R00270,SP000382
R00270,SP004253
R00271,SP000383
R00271,SP002168
R00271,SP004217
R00271,SP004574
R00271,SP004579
R00272,SP000384
R00273,SP000385
R00274,SP000387
R00275,SP000388
R00276,SP000389
R00277,SP000390
R00278,SP000391
R00279,SP000393
R00280,SP000394
R00280,SP001955
R00281,SP000395
R00282,SP000396
R00282,SP001151
R00282,SP003305
R00283,SP000397
R00283,SP000549
R00283,SP001459
R00283,SP001666
R00283,SP001669
R00283,SP001672
R00283,SP001774
R00283,SP003253
R00283,SP003266
R00283,SP003377
R00283,SP004023
R00284,SP000399
R00284,SP004002
R00285,SP000400
R00286,SP000402
R00286,SP001598
R00287,SP000403
R00288,SP000404
R00289,SP000405
R00289,SP003681
R00289,SP003774
R00289,SP003892
R00290,SP000406
R00290,SP001641
R00290,SP004011
R00290,SP004377
R00291,SP000407
R00292,SP000408
R00293,SP000409
R00293,SP001339
R00293,SP002145
R00293,SP002146
R00293,SP004090
R00294,SP000410
R00295,SP000411
R00296,SP000412
R00296,SP000415
R00296,SP000432
R00296,SP000684
R00296,SP000717
R00296,SP001820
R00296,SP002994
R00296,SP003423
R00297,SP000414
R00298,SP000416
R00298,SP002645
R00298,SP002650
R00298,SP002652
R00298,SP004047
R00299,SP000417
R00300,SP000418
R00301,SP000419
R00302,SP000420
R00302,SP002812
R00303,SP000421
R00303,SP000454
R00304,SP000422
R00304,SP001004
R00304,SP002674
R00305,SP000423
R00306,SP000424
R00306,SP004408
R00307,SP000425
