station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus1,branch_junction,is_junction,canonical_time_to_...,time_band,distance_from_..._km,distance_band,time_band,accessibility_score,difficulty_score,word_count_band,is_branch_line,is_mainline,is_coastal,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
SC_0154,SC_R0154,Forsinard,FRS,Scotrail,Far North Line,,,58.356998,-3.896903,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR154,,,FALSE,regional,,,,,,,,,,,,
SC_0163,SC_R0163,Georgemas Junction,GGJ,Scotrail,Far North Line,,,58.513721,-3.45212,,,FALSE,,,,,,,,,,multiple,TRUE,FALSE,TRUE,SCR163,,,FALSE,regional,,,,,,,,,,,,
SC_0174,SC_R0174,Golspie,GOL,Scotrail,Far North Line,,,57.971092,-3.98806,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR174,,,FALSE,regional,,,,,,,,,,,,
SC_0189,SC_R0189,Helmsdale,HMS,Scotrail,Far North Line,,,58.117737,-3.660068,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR189,,,FALSE,regional,,,,,,,,,,,,
SC_0199,SC_R0199,Invergordon,IGD,Scotrail,Far North Line,,,57.688587,-4.175563,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR199,,,FALSE,regional,,,,,,,,,,,,
SC_0213,SC_R0213,Kildonan,KIL,Scotrail,Far North Line,,,58.171432,-3.869993,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR213,,,FALSE,regional,,,,,,,,,,,,
SC_0218,SC_R0218,Kinbrace,KBC,Scotrail,Far North Line,,,58.258408,-3.941063,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR218,,,FALSE,regional,,,,,,,,,,,,
SC_0231,SC_R0231,Lairg,LRG,Scotrail,Far North Line,,,58.001701,-4.401,,,TRUE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR231,,,FALSE,regional,,,,,,,,,,,,
SC_0309,SC_R0309,Rogart,ROG,Scotrail,Far North Line,,,57.988979,-4.158224,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR309,,,FALSE,regional,,,,,,,,,,,,
SC_0315,SC_R0315,Scotscalder,SCT,Scotrail,Far North Line,,,58.482891,-3.553764,,,FALSE,,,,,,,,,,single,TRUE,FALSE,TRUE,SCR315,,,FALSE,regional,,,,,,,,,,,,
